order_id,weather_condition,temperature,weather_impact
219,Clear,16,0
220,Rainy,27,15
221,Clear,17,0
222,Clear,11,0
223,Clear,18,0
224,Clear,36,0
225,Clear,43,0
226,Clear,36,0
227,Clear,40,0
228,Clear,31,0
229,Foggy,16,20
230,Clear,35,0
231,Hazy,17,5
232,Clear,24,0
233,Clear,10,0
234,Hazy,33,5
235,Clear,13,0
236,Rainy,33,15
237,Clear,32,0
238,Clear,9,0
239,Foggy,7,20
240,Rainy,41,15
241,Rainy,41,15
242,Foggy,43,20
243,Clear,34,0
244,Rainy,13,15
245,Clear,6,0
246,Hazy,11,5
247,Rainy,18,15
248,Rainy,14,15
249,Rainy,16,15
250,Clear,14,0
251,Clear,33,0
252,Clear,7,0
253,Clear,11,0
254,Clear,14,0
255,Rainy,25,15
256,Clear,30,0
257,Clear,24,0
258,Clear,7,0
259,Clear,18,0
260,Clear,32,0
261,Clear,18,0
262,Rainy,16,15
263,Clear,41,0
264,Clear,15,0
265,Foggy,25,20
266,Clear,27,0
267,Clear,35,0
268,Clear,27,0
269,Clear,35,0
270,Clear,44,0
271,Clear,29,0
272,Clear,23,0
273,Clear,28,0
274,Hazy,39,5
275,Foggy,21,20
276,Rainy,28,15
277,Foggy,34,20
278,Clear,43,0
279,Hazy,26,5
280,Rainy,23,15
281,Clear,25,0
282,Clear,19,0
283,Foggy,7,20
284,Rainy,25,15
285,Hazy,40,5
286,Clear,20,0
287,Hazy,41,5
288,Rainy,22,15
289,Clear,11,0
290,Foggy,35,20
291,Rainy,5,15
292,Rainy,16,15
293,Clear,7,0
294,Foggy,19,20
295,Clear,34,0
296,Clear,38,0
297,Foggy,24,20
298,Foggy,18,20
299,Rainy,30,15
300,Rainy,10,15
301,Foggy,43,20
302,Hazy,8,5
303,Rainy,23,15
304,Foggy,44,20
305,Clear,37,0
306,Clear,14,0
307,Clear,24,0
308,Rainy,40,15
309,Foggy,5,20
310,Hazy,9,5
311,Clear,29,0
312,Clear,12,0
313,Rainy,39,15
314,Rainy,6,15
315,Clear,17,0
316,Rainy,36,15
317,Clear,24,0
318,Clear,42,0
319,Foggy,9,20
320,Foggy,16,20
321,Clear,31,0
322,Clear,31,0
323,Clear,44,0
324,Rainy,32,15
325,Clear,21,0
326,Hazy,32,5
327,Clear,14,0
328,Foggy,23,20
329,Foggy,28,20
330,Rainy,42,15
331,Clear,26,0
332,Foggy,40,20
333,Clear,19,0
334,Clear,37,0
335,Hazy,25,5
336,Clear,10,0
337,Clear,30,0
338,Foggy,15,20
339,Foggy,34,20
340,Hazy,30,5
341,Rainy,19,15
342,Clear,36,0
343,Rainy,38,15
344,Rainy,17,15
345,Clear,19,0
346,Clear,19,0
347,Clear,28,0
348,Foggy,32,20
349,Clear,16,0
350,Hazy,30,5
351,Clear,36,0
352,Clear,11,0
353,Rainy,13,15
354,Clear,38,0
355,Rainy,18,15
356,Clear,44,0
357,Clear,23,0
358,Clear,31,0
359,Rainy,32,15
360,Rainy,38,15
361,Clear,15,0
362,Rainy,43,15
363,Clear,15,0
364,Hazy,24,5
365,Clear,28,0
366,Clear,36,0
367,Clear,16,0
368,Rainy,39,15
369,Rainy,44,15
370,Clear,16,0
371,Clear,34,0
372,Clear,36,0
373,Clear,23,0
374,Clear,36,0
375,Foggy,39,20
376,Clear,34,0
377,Foggy,37,20
378,Foggy,17,20
379,Clear,24,0
380,Hazy,20,5
381,Foggy,36,20
382,Foggy,27,20
383,Rainy,39,15
384,Rainy,44,15
385,Hazy,37,5
386,Clear,6,0
387,Foggy,42,20
388,Rainy,28,15
389,Rainy,14,15
390,Rainy,10,15
391,Hazy,32,5
392,Rainy,38,15
393,Clear,9,0
394,Clear,25,0
395,Hazy,27,5
396,Clear,24,0
397,Clear,6,0
398,Foggy,44,20
399,Clear,17,0
400,Clear,20,0
401,Clear,11,0
402,Rainy,30,15
403,Rainy,20,15
404,Clear,39,0
405,Foggy,18,20
406,Clear,41,0
407,Clear,44,0
408,Clear,42,0
409,Rainy,19,15
410,Clear,42,0
411,Clear,39,0
412,Rainy,23,15
413,Foggy,9,20
414,Hazy,30,5
415,Foggy,30,20
416,Foggy,21,20
417,Clear,22,0
418,Rainy,38,15
419,Foggy,21,20
420,Clear,7,0
421,Clear,37,0
422,Clear,15,0
423,Clear,27,0
424,Rainy,19,15
425,Clear,44,0
426,Clear,15,0
427,Clear,13,0
428,Hazy,42,5
429,Clear,39,0
430,Rainy,12,15
431,Rainy,14,15
432,Foggy,10,20
433,Rainy,25,15
434,Clear,14,0
435,Hazy,31,5
436,Clear,36,0
437,Clear,31,0
438,Hazy,19,5
439,Clear,32,0
440,Clear,19,0
441,Rainy,14,15
442,Hazy,25,5
443,Hazy,40,5
444,Rainy,18,15
445,Foggy,17,20
446,Rainy,34,15
447,Foggy,28,20
448,Clear,39,0
449,Clear,18,0
450,Clear,29,0
451,Clear,11,0
452,Clear,38,0
453,Clear,25,0
454,Rainy,26,15
455,Rainy,9,15
456,Clear,26,0
457,Rainy,30,15
458,Hazy,23,5
459,Hazy,21,5
460,Clear,27,0
461,Hazy,32,5
462,Rainy,8,15
463,Foggy,33,20
464,Hazy,26,5
465,Clear,34,0
466,Rainy,15,15
467,Clear,22,0
468,Clear,42,0
469,Rainy,16,15
470,Foggy,38,20
471,Rainy,30,15
472,Rainy,11,15
473,Rainy,43,15
474,Rainy,31,15
475,Clear,25,0
476,Rainy,42,15
477,Foggy,21,20
478,Clear,39,0
479,Rainy,7,15
480,Clear,26,0
481,Clear,21,0
482,Rainy,14,15
483,Clear,15,0
484,Clear,25,0
485,Clear,23,0
486,Foggy,17,20
487,Rainy,33,15
488,Foggy,40,20
489,Rainy,37,15
490,Hazy,40,5
491,Rainy,43,15
492,Clear,39,0
493,Clear,5,0
494,Foggy,22,20
495,Hazy,34,5
496,Rainy,36,15
497,Clear,23,0
498,Rainy,42,15
499,Rainy,41,15
500,Clear,14,0
501,Clear,30,0
502,Hazy,16,5
503,Clear,17,0
504,Clear,29,0
505,Rainy,23,15
506,Hazy,10,5
507,Foggy,11,20
508,Foggy,19,20
509,Clear,42,0
510,Clear,19,0
511,Rainy,42,15
512,Rainy,31,15
513,Clear,11,0
514,Hazy,44,5
515,Hazy,31,5
516,Clear,16,0
517,Foggy,43,20
518,Clear,27,0
519,Rainy,11,15
520,Clear,39,0
521,Clear,22,0
522,Clear,26,0
523,Clear,23,0
524,Foggy,7,20
525,Rainy,8,15
526,Clear,19,0
527,Rainy,29,15
528,Rainy,41,15
529,Rainy,12,15
530,Clear,14,0
531,Rainy,38,15
532,Rainy,37,15
533,Clear,21,0
534,Foggy,32,20
535,Foggy,19,20
536,Hazy,26,5
537,Clear,34,0
538,Clear,9,0
539,Clear,32,0
540,Foggy,43,20
541,Hazy,17,5
542,Clear,7,0
543,Hazy,32,5
544,Clear,34,0
545,Clear,14,0
546,Clear,23,0
547,Clear,20,0
548,Clear,25,0
549,Foggy,17,20
550,Foggy,23,20
551,Clear,24,0
552,Clear,15,0
553,Foggy,41,20
554,Rainy,9,15
555,Clear,11,0
556,Rainy,43,15
557,Clear,27,0
558,Clear,41,0
559,Clear,39,0
560,Rainy,36,15
561,Clear,20,0
562,Hazy,10,5
563,Foggy,20,20
564,Rainy,30,15
565,Clear,37,0
566,Clear,29,0
567,Clear,42,0
568,Hazy,42,5
569,Clear,35,0
570,Rainy,27,15
571,Rainy,20,15
572,Rainy,42,15
573,Clear,29,0
574,Rainy,30,15
575,Clear,43,0
576,Clear,28,0
577,Clear,26,0
578,Rainy,32,15
579,Clear,33,0
580,Clear,19,0
581,Clear,13,0
582,Clear,16,0
583,Clear,32,0
584,Clear,5,0
585,Rainy,20,15
586,Rainy,20,15
587,Hazy,44,5
588,Clear,34,0
589,Clear,24,0
590,Rainy,6,15
591,Clear,25,0
592,Rainy,14,15
593,Clear,10,0
594,Clear,14,0
595,Hazy,40,5
596,Hazy,39,5
597,Rainy,12,15
598,Clear,24,0
599,Rainy,27,15
600,Foggy,28,20
601,Clear,21,0
602,Rainy,14,15
603,Clear,40,0
604,Clear,19,0
605,Rainy,10,15
606,Hazy,21,5
607,Rainy,8,15
608,Rainy,42,15
609,Clear,20,0
610,Clear,44,0
611,Foggy,15,20
612,Rainy,18,15
613,Foggy,8,20
614,Rainy,7,15
615,Clear,17,0
616,Clear,10,0
617,Clear,21,0
618,Hazy,25,5
619,Rainy,36,15
620,Foggy,32,20
621,Rainy,20,15
622,Rainy,16,15
623,Clear,36,0
624,Clear,33,0
625,Clear,30,0
626,Foggy,33,20
627,Clear,32,0
628,Clear,42,0
629,Clear,33,0
630,Foggy,20,20
631,Clear,38,0
632,Rainy,27,15
633,Rainy,38,15
634,Rainy,24,15
635,Rainy,8,15
636,Foggy,29,20
637,Clear,36,0
638,Rainy,26,15
639,Clear,23,0
640,Rainy,27,15
641,Clear,37,0
642,Clear,22,0
643,Clear,38,0
644,Clear,37,0
645,Hazy,5,5
646,Foggy,34,20
647,Rainy,34,15
648,Foggy,14,20
649,Clear,29,0
650,Clear,23,0
651,Rainy,37,15
652,Clear,36,0
653,Rainy,39,15
654,Rainy,33,15
655,Rainy,20,15
656,Rainy,36,15
657,Foggy,6,20
658,Foggy,7,20
659,Clear,10,0
660,Clear,32,0
661,Foggy,13,20
662,Clear,7,0
663,Rainy,30,15
664,Clear,6,0
665,Foggy,9,20
666,Clear,19,0
667,Rainy,29,15
668,Clear,42,0
669,Foggy,21,20
670,Clear,32,0
671,Rainy,29,15
672,Rainy,5,15
673,Rainy,34,15
674,Hazy,9,5
675,Clear,23,0
676,Clear,17,0
677,Foggy,9,20
678,Clear,25,0
679,Clear,11,0
680,Rainy,20,15
681,Clear,39,0
682,Clear,30,0
683,Clear,34,0
684,Clear,18,0
685,Clear,13,0
686,Clear,23,0
687,Clear,18,0
688,Rainy,37,15
689,Rainy,5,15
690,Clear,7,0
691,Foggy,9,20
692,Clear,21,0
693,Foggy,36,20
694,Clear,38,0
695,Hazy,8,5
696,Hazy,35,5
697,Rainy,33,15
698,Rainy,6,15
699,Foggy,23,20
700,Clear,23,0
701,Hazy,12,5
702,Hazy,36,5
703,Clear,44,0
704,Clear,42,0
705,Clear,36,0
706,Clear,42,0
707,Clear,35,0
708,Clear,14,0
709,Clear,5,0
710,Rainy,24,15
711,Rainy,25,15
712,Rainy,10,15
713,Rainy,9,15
714,Rainy,34,15
715,Rainy,40,15
716,Foggy,13,20
717,Clear,19,0
718,Rainy,20,15
719,Rainy,12,15
720,Rainy,37,15
721,Hazy,5,5
722,Rainy,25,15
723,Hazy,17,5
724,Clear,26,0
725,Clear,34,0
726,Clear,44,0
727,Clear,15,0
728,Clear,23,0
729,Clear,23,0
730,Clear,11,0
731,Foggy,8,20
732,Rainy,35,15
733,Clear,25,0
734,Rainy,36,15
735,Clear,30,0
736,Clear,20,0
737,Clear,12,0
738,Clear,24,0
739,Clear,33,0
740,Clear,15,0
741,Clear,7,0
742,Rainy,35,15
743,Rainy,9,15
744,Clear,11,0
745,Clear,24,0
746,Hazy,36,5
747,Foggy,39,20
748,Foggy,19,20
749,Foggy,33,20
750,Rainy,13,15
751,Clear,26,0
752,Clear,5,0
753,Clear,11,0
754,Rainy,12,15
755,Clear,42,0
756,Clear,8,0
757,Rainy,40,15
758,Clear,41,0
759,Hazy,31,5
760,Foggy,24,20
761,Clear,25,0
762,Clear,6,0
763,Hazy,41,5
764,Clear,42,0
765,Clear,11,0
766,Clear,29,0
767,Hazy,24,5
768,Clear,8,0
769,Clear,36,0
770,Rainy,27,15
771,Hazy,28,5
772,Clear,7,0
773,Clear,16,0
774,Clear,32,0
775,Clear,9,0
776,Clear,37,0
777,Clear,27,0
778,Foggy,11,20
779,Rainy,41,15
780,Clear,15,0
781,Foggy,36,20
782,Hazy,23,5
783,Hazy,32,5
784,Clear,43,0
785,Clear,24,0
786,Clear,42,0
787,Rainy,9,15
788,Clear,41,0
789,Clear,33,0
790,Rainy,35,15
791,Clear,36,0
792,Foggy,38,20
793,Foggy,21,20
794,Rainy,20,15
795,Clear,11,0
796,Rainy,44,15
797,Clear,41,0
798,Clear,16,0
799,Hazy,5,5
800,Clear,18,0
801,Clear,24,0
802,Clear,30,0
803,Hazy,40,5
804,Rainy,34,15
805,Clear,36,0
806,Rainy,11,15
807,Clear,26,0
808,Clear,10,0
809,Clear,32,0
810,Rainy,15,15
811,Clear,35,0
812,Rainy,39,15
813,Clear,39,0
814,Clear,20,0
815,Rainy,18,15
816,Clear,29,0
817,Rainy,13,15
818,Clear,30,0
819,Clear,32,0
820,Clear,14,0
821,Clear,18,0
822,Clear,37,0
823,Clear,38,0
824,Rainy,12,15
825,Foggy,33,20
826,Clear,38,0
827,Clear,34,0
828,Clear,43,0
829,Rainy,6,15
830,Clear,22,0
831,Rainy,8,15
832,Clear,41,0
833,Rainy,19,15
834,Hazy,32,5
835,Rainy,42,15
836,Rainy,29,15
837,Hazy,34,5
838,Clear,11,0
839,Rainy,7,15
840,Clear,14,0
841,Hazy,34,5
842,Clear,16,0
843,Clear,32,0
844,Clear,11,0
845,Clear,23,0
846,Hazy,22,5
847,Clear,10,0
848,Clear,14,0
849,Clear,14,0
850,Clear,10,0
851,Clear,39,0
852,Clear,43,0
853,Rainy,16,15
854,Clear,13,0
855,Clear,9,0
856,Rainy,6,15
857,Clear,10,0
858,Foggy,18,20
859,Rainy,24,15
860,Clear,19,0
861,Foggy,22,20
862,Clear,21,0
863,Hazy,28,5
864,Clear,6,0
865,Clear,36,0
866,Clear,12,0
867,Clear,44,0
868,Clear,29,0
869,Rainy,34,15
870,Clear,7,0
871,Rainy,26,15
872,Rainy,24,15
873,Clear,9,0
874,Clear,32,0
875,Foggy,34,20
876,Rainy,38,15
877,Clear,18,0
878,Clear,42,0
879,Hazy,10,5
880,Clear,39,0
881,Foggy,37,20
882,Foggy,37,20
883,Foggy,43,20
884,Hazy,15,5
885,Clear,40,0
886,Foggy,29,20
887,Clear,20,0
888,Hazy,7,5
889,Clear,32,0
890,Clear,21,0
891,Foggy,24,20
892,Rainy,33,15
893,Clear,7,0
894,Clear,22,0
895,Clear,37,0
896,Clear,43,0
897,Clear,26,0
898,Clear,33,0
899,Hazy,31,5
900,Rainy,20,15
901,Hazy,27,5
902,Clear,24,0
903,Clear,18,0
904,Clear,35,0
905,Clear,34,0
906,Clear,42,0
907,Clear,17,0
908,Rainy,36,15
909,Clear,9,0
910,Clear,9,0
911,Clear,39,0
912,Rainy,22,15
913,Clear,37,0
914,Clear,22,0
915,Clear,29,0
916,Clear,11,0
917,Clear,31,0
918,Foggy,17,20
919,Clear,15,0
920,Foggy,24,20
921,Hazy,19,5
922,Foggy,41,20
923,Foggy,25,20
924,Clear,24,0
925,Foggy,9,20
926,Foggy,11,20
927,Foggy,26,20
928,Rainy,31,15
929,Clear,34,0
930,Clear,20,0
931,Foggy,30,20
932,Clear,44,0
933,Clear,18,0
934,Rainy,29,15
935,Hazy,7,5
936,Clear,32,0
937,Rainy,22,15
938,Clear,34,0
939,Rainy,29,15
940,Rainy,44,15
941,Rainy,40,15
942,Foggy,27,20
943,Foggy,30,20
944,Clear,40,0
945,Rainy,27,15
946,Clear,16,0
947,Rainy,39,15
948,Clear,39,0
949,Rainy,33,15
950,Hazy,9,5
951,Clear,10,0
952,Clear,26,0
953,Clear,21,0
954,Clear,37,0
955,Rainy,29,15
956,Rainy,43,15
957,Foggy,7,20
958,Foggy,5,20
959,Foggy,34,20
960,Rainy,36,15
961,Rainy,18,15
962,Rainy,31,15
963,Rainy,39,15
964,Foggy,6,20
965,Rainy,20,15
966,Rainy,20,15
967,Clear,27,0
968,Clear,23,0
969,Foggy,41,20
970,Hazy,40,5
971,Clear,6,0
972,Clear,42,0
973,Clear,21,0
974,Foggy,16,20
975,Clear,8,0
976,Clear,25,0
977,Clear,11,0
978,Rainy,10,15
979,Clear,23,0
980,Foggy,12,20
981,Clear,35,0
982,Clear,24,0
983,Foggy,44,20
984,Rainy,19,15
985,Clear,20,0
986,Clear,42,0
987,Clear,18,0
988,Clear,16,0
989,Rainy,38,15
990,Hazy,27,5
991,Clear,37,0
992,Clear,31,0
993,Clear,25,0
994,Foggy,34,20
995,Clear,23,0
996,Clear,31,0
997,Hazy,15,5
998,Clear,22,0
999,Rainy,31,15
1000,Clear,44,0
1001,Foggy,10,20
1002,Clear,42,0
1003,Clear,43,0
1004,Foggy,11,20
1005,Foggy,29,20
1006,Rainy,21,15
1007,Hazy,9,5
1008,Rainy,40,15
1009,Clear,37,0
1010,Clear,27,0
1011,Foggy,14,20
1012,Foggy,18,20
1013,Rainy,24,15
1014,Clear,6,0
1015,Clear,11,0
1016,Clear,28,0
1017,Clear,40,0
1018,Clear,8,0
1019,Foggy,7,20
1020,Clear,18,0
1021,Rainy,13,15
1022,Clear,38,0
1023,Hazy,14,5
1024,Rainy,35,15
1025,Foggy,12,20
1026,Hazy,41,5
1027,Rainy,16,15
1028,Clear,13,0
1029,Clear,37,0
1030,Foggy,6,20
1031,Clear,41,0
1032,Clear,20,0
1033,Clear,40,0
1034,Clear,13,0
1035,Clear,17,0
1036,Rainy,9,15
1037,Rainy,39,15
1038,Rainy,26,15
1039,Clear,5,0
1040,Clear,35,0
1041,Rainy,15,15
1042,Foggy,17,20
1043,Foggy,40,20
1044,Clear,10,0
1045,Clear,27,0
1046,Clear,12,0
1047,Rainy,44,15
1048,Hazy,41,5
1049,Clear,33,0
1050,Hazy,20,5
1051,Foggy,10,20
1052,Foggy,10,20
1053,Foggy,40,20
1054,Rainy,21,15
1055,Rainy,14,15
1056,Rainy,24,15
1057,Rainy,13,15
1058,Clear,37,0
1059,Clear,39,0
1060,Clear,29,0
1061,Hazy,20,5
1062,Clear,26,0
1063,Foggy,21,20
1064,Foggy,20,20
1065,Clear,22,0
1066,Hazy,32,5
1067,Clear,11,0
1068,Hazy,33,5
1069,Hazy,17,5
1070,Rainy,9,15
1071,Clear,35,0
1072,Clear,39,0
1073,Clear,16,0
1074,Foggy,24,20
1075,Rainy,28,15
1076,Clear,33,0
1077,Clear,44,0
1078,Rainy,11,15
1079,Hazy,36,5
1080,Rainy,18,15
1081,Clear,14,0
1082,Clear,22,0
1083,Clear,5,0
1084,Clear,10,0
1085,Rainy,15,15
1086,Clear,40,0
1087,Clear,14,0
1088,Rainy,42,15
1089,Clear,28,0
1090,Rainy,28,15
1091,Foggy,33,20
1092,Clear,28,0
1093,Clear,9,0
1094,Clear,28,0
1095,Clear,36,0
1096,Hazy,33,5
1097,Clear,23,0
1098,Clear,31,0
1099,Rainy,43,15
1100,Clear,15,0
1101,Clear,40,0
1102,Clear,23,0
1103,Rainy,44,15
1104,Rainy,17,15
1105,Clear,25,0
1106,Clear,25,0
1107,Clear,19,0
1108,Foggy,15,20
1109,Rainy,27,15
1110,Hazy,14,5
1111,Rainy,10,15
1112,Rainy,23,15
1113,Clear,15,0
1114,Clear,32,0
1115,Hazy,17,5
1116,Clear,15,0
1117,Rainy,35,15
1118,Rainy,27,15
1119,Foggy,5,20
1120,Rainy,36,15
1121,Rainy,28,15
1122,Foggy,26,20
1123,Clear,22,0
1124,Clear,6,0
1125,Rainy,18,15
1126,Foggy,15,20
1127,Clear,35,0
1128,Rainy,27,15
1129,Clear,40,0
1130,Clear,32,0
1131,Rainy,25,15
1132,Clear,38,0
1133,Rainy,40,15
1134,Clear,41,0
1135,Clear,14,0
1136,Clear,43,0
1137,Clear,30,0
1138,Hazy,38,5
1139,Foggy,17,20
1140,Foggy,8,20
1141,Clear,24,0
1142,Clear,18,0
1143,Hazy,5,5
1144,Foggy,14,20
1145,Clear,39,0
1146,Clear,26,0
1147,Clear,28,0
1148,Rainy,13,15
1149,Hazy,33,5
1150,Clear,18,0
1151,Clear,42,0
1152,Clear,8,0
1153,Foggy,39,20
1154,Clear,10,0
1155,Foggy,39,20
1156,Foggy,17,20
1157,Clear,12,0
1158,Foggy,43,20
1159,Clear,18,0
1160,Rainy,10,15
1161,Hazy,24,5
1162,Hazy,18,5
1163,Clear,10,0
1164,Rainy,33,15
1165,Clear,8,0
1166,Clear,26,0
1167,Rainy,35,15
1168,Rainy,26,15
1169,Clear,34,0
1170,Foggy,9,20
1171,Clear,26,0
1172,Rainy,38,15
1173,Rainy,29,15
1174,Foggy,22,20
1175,Rainy,14,15
1176,Foggy,30,20
1177,Clear,30,0
1178,Foggy,16,20
1179,Hazy,19,5
1180,Rainy,28,15
1181,Rainy,17,15
1182,Foggy,8,20
1183,Foggy,10,20
1184,Clear,7,0
1185,Foggy,15,20
1186,Rainy,22,15
1187,Clear,35,0
1188,Clear,21,0
1189,Clear,36,0
1190,Rainy,24,15
1191,Hazy,34,5
1192,Rainy,9,15
1193,Clear,35,0
1194,Clear,17,0
1195,Clear,38,0
1196,Clear,23,0
1197,Clear,17,0
1198,Clear,36,0
1199,Clear,7,0
1200,Rainy,35,15
1201,Rainy,8,15
1202,Clear,20,0
1203,Clear,28,0
1204,Clear,43,0
1205,Rainy,34,15
1206,Clear,30,0
1207,Rainy,16,15
1208,Clear,35,0
1209,Rainy,9,15
1210,Clear,41,0
1211,Clear,22,0
1212,Clear,9,0
1213,Clear,12,0
1214,Clear,7,0
1215,Clear,32,0
1216,Clear,38,0
1217,Clear,17,0
1218,Clear,9,0
1219,Foggy,11,20
1220,Clear,42,0
1221,Clear,11,0
1222,Rainy,17,15
1223,Clear,40,0
1224,Foggy,21,20
1225,Clear,24,0
1226,Rainy,17,15
1227,Clear,26,0
1228,Clear,23,0
1229,Foggy,33,20
1230,Clear,35,0
1231,Clear,34,0
1232,Clear,38,0
1233,Rainy,43,15
1234,Clear,18,0
1235,Clear,40,0
1236,Clear,35,0
1237,Clear,11,0
1238,Clear,25,0
1239,Clear,24,0
1240,Rainy,21,15
1241,Clear,8,0
1242,Clear,8,0
1243,Foggy,15,20
1244,Rainy,18,15
1245,Clear,5,0
1246,Rainy,28,15
1247,Rainy,17,15
1248,Rainy,9,15
1249,Clear,43,0
1250,Clear,25,0
1251,Clear,26,0
1252,Clear,37,0
1253,Rainy,11,15
1254,Clear,12,0
1255,Clear,16,0
1256,Foggy,13,20
1257,Rainy,29,15
1258,Foggy,7,20
1259,Clear,22,0
1260,Clear,26,0
1261,Rainy,21,15
1262,Rainy,44,15
1263,Rainy,44,15
1264,Rainy,17,15
1265,Clear,26,0
1266,Clear,23,0
1267,Clear,32,0
1268,Hazy,13,5
1269,Clear,12,0
1270,Clear,28,0
1271,Rainy,22,15
1272,Clear,7,0
1273,Foggy,5,20
1274,Clear,40,0
1275,Clear,36,0
1276,Rainy,5,15
1277,Rainy,28,15
1278,Clear,24,0
1279,Clear,14,0
1280,Clear,21,0
1281,Rainy,17,15
1282,Rainy,9,15
1283,Rainy,35,15
1284,Rainy,38,15
1285,Rainy,25,15
1286,Clear,14,0
1287,Hazy,34,5
1288,Clear,35,0
1289,Rainy,25,15
1290,Hazy,32,5
1291,Clear,26,0
1292,Foggy,13,20
1293,Rainy,44,15
1294,Clear,14,0
1295,Hazy,20,5
1296,Clear,23,0
1297,Rainy,41,15
1298,Clear,36,0
1299,Foggy,5,20
1300,Foggy,14,20
1301,Rainy,18,15
1302,Clear,21,0
