order_id,time_of_day,traffic_condition,traffic_delay
296,Morning,Low,5
297,Afternoon,Low,5
298,Afternoon,Low,5
299,Afternoon,Low,5
300,Morning,Medium,10
301,Afternoon,Low,5
302,Afternoon,Low,5
303,Evening,High,30
304,Morning,Low,5
305,Afternoon,Low,5
306,Afternoon,Low,5
307,Afternoon,Medium,10
308,Afternoon,Low,5
309,Afternoon,Low,5
310,Afternoon,Medium,10
311,Evening,Medium,20
312,Afternoon,Low,5
313,Evening,Medium,20
314,Evening,Low,10
315,Afternoon,Low,5
316,Morning,High,15
317,Morning,High,15
318,Afternoon,Low,5
319,Evening,High,30
320,Morning,Low,5
321,Evening,High,30
322,Evening,High,30
323,Morning,Low,5
324,Evening,Medium,20
325,Afternoon,Medium,10
326,Afternoon,Medium,10
327,Morning,Medium,10
328,Morning,Low,5
329,Evening,Medium,20
330,Morning,Low,5
331,Evening,Medium,20
332,Afternoon,Low,5
333,Evening,High,30
334,Afternoon,Medium,10
335,Morning,Medium,10
336,Afternoon,Medium,10
337,Morning,Low,5
338,Morning,Low,5
339,Morning,Low,5
340,Morning,High,15
341,Evening,High,30
342,Evening,High,30
343,Evening,High,30
344,Morning,Medium,10
345,Evening,Medium,20
346,Morning,High,15
347,Morning,Medium,10
348,Evening,Low,10
349,Afternoon,Medium,10
350,Morning,Medium,10
351,Afternoon,Low,5
352,Afternoon,Low,5
353,Evening,Low,10
354,Afternoon,Medium,10
355,Afternoon,Low,5
356,Afternoon,Low,5
357,Evening,High,30
358,Morning,Low,5
359,Morning,Low,5
360,Morning,High,15
361,Morning,High,15
362,Evening,High,30
363,Afternoon,Low,5
364,Afternoon,Medium,10
365,Evening,Medium,20
366,Evening,High,30
367,Afternoon,Low,5
368,Afternoon,Low,5
369,Afternoon,Low,5
370,Afternoon,Medium,10
371,Evening,High,30
372,Afternoon,Low,5
373,Evening,High,30
374,Evening,Medium,20
375,Afternoon,Low,5
376,Evening,High,30
377,Evening,Medium,20
378,Morning,Low,5
379,Morning,Medium,10
380,Evening,Medium,20
381,Evening,Medium,20
382,Morning,Low,5
383,Afternoon,Low,5
384,Afternoon,Low,5
385,Morning,Medium,10
386,Afternoon,Medium,10
387,Morning,High,15
388,Morning,High,15
389,Afternoon,Low,5
390,Evening,High,30
391,Afternoon,Medium,10
392,Afternoon,Medium,10
393,Evening,High,30
394,Afternoon,Low,5
395,Afternoon,Low,5
396,Afternoon,Low,5
397,Evening,High,30
398,Afternoon,Low,5
399,Afternoon,Low,5
400,Morning,High,15
401,Evening,Medium,20
402,Evening,Medium,20
403,Evening,Low,10
404,Morning,Low,5
405,Morning,Low,5
406,Evening,Medium,20
407,Afternoon,Low,5
408,Afternoon,Low,5
409,Morning,Medium,10
410,Morning,Low,5
411,Evening,Medium,20
412,Morning,Low,5
413,Morning,Low,5
414,Morning,Low,5
415,Evening,High,30
416,Evening,Low,10
417,Morning,Low,5
418,Morning,Low,5
419,Morning,High,15
420,Evening,Medium,20
421,Evening,Low,10
422,Afternoon,Medium,10
423,Morning,Medium,10
424,Afternoon,Low,5
425,Afternoon,Medium,10
426,Morning,Low,5
427,Evening,High,30
428,Afternoon,Medium,10
429,Morning,Low,5
430,Afternoon,Low,5
431,Morning,Low,5
432,Afternoon,Low,5
433,Afternoon,Low,5
434,Afternoon,Low,5
435,Morning,Medium,10
436,Morning,Low,5
437,Evening,Medium,20
438,Evening,Medium,20
439,Evening,Medium,20
440,Evening,Low,10
441,Evening,Medium,20
442,Afternoon,Low,5
443,Evening,High,30
444,Evening,Low,10
445,Afternoon,Medium,10
446,Evening,Medium,20
447,Morning,Medium,10
448,Afternoon,Low,5
449,Evening,Medium,20
450,Morning,Medium,10
451,Afternoon,Low,5
452,Afternoon,Medium,10
453,Morning,Medium,10
454,Afternoon,Low,5
455,Morning,Low,5
456,Morning,High,15
457,Afternoon,Low,5
458,Evening,Medium,20
459,Morning,High,15
460,Afternoon,Low,5
461,Afternoon,Low,5
462,Morning,Low,5
463,Afternoon,Low,5
464,Morning,Low,5
465,Morning,Low,5
466,Afternoon,Low,5
467,Evening,Low,10
468,Afternoon,Medium,10
469,Afternoon,Medium,10
470,Evening,High,30
471,Evening,Medium,20
472,Afternoon,Low,5
473,Evening,High,30
474,Morning,Medium,10
475,Afternoon,Low,5
476,Morning,High,15
477,Morning,Medium,10
478,Evening,Low,10
479,Morning,Medium,10
480,Afternoon,Low,5
481,Afternoon,Low,5
482,Evening,High,30
483,Afternoon,Low,5
484,Morning,Medium,10
485,Morning,Low,5
486,Morning,High,15
487,Afternoon,Low,5
488,Evening,High,30
489,Afternoon,Low,5
490,Morning,Medium,10
491,Morning,Low,5
492,Morning,Medium,10
493,Afternoon,Low,5
494,Evening,Low,10
495,Evening,Medium,20
496,Afternoon,Low,5
497,Evening,High,30
498,Evening,High,30
499,Afternoon,Low,5
500,Afternoon,Low,5
501,Afternoon,Low,5
502,Morning,Low,5
503,Afternoon,Low,5
504,Afternoon,Medium,10
505,Afternoon,Low,5
506,Evening,High,30
507,Afternoon,Low,5
508,Morning,Low,5
509,Evening,High,30
510,Afternoon,Medium,10
511,Afternoon,Low,5
512,Afternoon,Low,5
513,Afternoon,Medium,10
514,Afternoon,Low,5
515,Morning,Medium,10
516,Afternoon,Medium,10
517,Afternoon,Low,5
518,Afternoon,Medium,10
519,Afternoon,Low,5
520,Afternoon,Low,5
521,Evening,Low,10
522,Morning,Low,5
523,Afternoon,Low,5
524,Morning,Low,5
525,Afternoon,Low,5
526,Evening,High,30
527,Afternoon,Low,5
528,Afternoon,Medium,10
529,Afternoon,Low,5
530,Afternoon,Medium,10
531,Morning,Medium,10
532,Morning,Medium,10
533,Morning,Medium,10
534,Afternoon,Low,5
535,Afternoon,Low,5
536,Evening,Low,10
537,Afternoon,Low,5
538,Afternoon,Medium,10
539,Afternoon,Low,5
540,Morning,Low,5
541,Afternoon,Low,5
542,Afternoon,Low,5
543,Afternoon,Low,5
544,Morning,High,15
545,Afternoon,Medium,10
546,Afternoon,Medium,10
547,Afternoon,Low,5
548,Evening,High,30
549,Morning,High,15
550,Evening,High,30
551,Evening,High,30
552,Afternoon,Medium,10
553,Afternoon,Low,5
554,Afternoon,Low,5
555,Morning,High,15
556,Morning,Low,5
557,Evening,High,30
558,Morning,Medium,10
559,Afternoon,Low,5
560,Morning,Low,5
561,Morning,Medium,10
562,Evening,Medium,20
563,Evening,Low,10
564,Afternoon,Low,5
565,Morning,Medium,10
566,Evening,High,30
567,Morning,Low,5
568,Evening,Medium,20
569,Morning,Low,5
570,Evening,Medium,20
571,Afternoon,Low,5
572,Afternoon,Medium,10
573,Afternoon,Low,5
574,Afternoon,Medium,10
575,Evening,High,30
576,Evening,High,30
577,Morning,Low,5
578,Evening,High,30
579,Afternoon,Low,5
580,Evening,High,30
581,Afternoon,Medium,10
582,Afternoon,Low,5
583,Afternoon,Low,5
584,Morning,Low,5
585,Afternoon,Low,5
586,Morning,Low,5
587,Afternoon,Medium,10
588,Afternoon,Low,5
589,Afternoon,Low,5
590,Morning,Low,5
591,Morning,Medium,10
592,Evening,High,30
593,Afternoon,Medium,10
594,Morning,Low,5
595,Afternoon,Low,5
596,Morning,High,15
597,Evening,Low,10
598,Afternoon,Low,5
599,Afternoon,Low,5
600,Afternoon,Medium,10
601,Afternoon,Medium,10
602,Evening,Medium,20
603,Morning,High,15
604,Evening,High,30
605,Evening,High,30
606,Morning,High,15
607,Afternoon,Low,5
608,Morning,Low,5
609,Morning,Medium,10
610,Evening,Low,10
611,Morning,Low,5
612,Afternoon,Low,5
613,Morning,Low,5
614,Morning,High,15
615,Afternoon,Low,5
616,Evening,Medium,20
617,Afternoon,Medium,10
618,Afternoon,Low,5
619,Morning,Medium,10
620,Afternoon,Low,5
621,Evening,Medium,20
622,Evening,High,30
623,Evening,Low,10
624,Afternoon,Low,5
625,Morning,Medium,10
626,Morning,Low,5
627,Morning,Low,5
628,Morning,Medium,10
629,Afternoon,Low,5
630,Afternoon,Low,5
631,Afternoon,Low,5
632,Morning,Low,5
633,Afternoon,Low,5
634,Evening,High,30
635,Afternoon,Low,5
636,Afternoon,Medium,10
637,Morning,Low,5
638,Afternoon,Low,5
639,Morning,Low,5
640,Evening,Low,10
641,Afternoon,Medium,10
642,Evening,High,30
643,Afternoon,Low,5
644,Afternoon,Low,5
645,Afternoon,Medium,10
646,Afternoon,Low,5
647,Afternoon,Low,5
648,Morning,Low,5
649,Morning,High,15
650,Afternoon,Low,5
651,Afternoon,Low,5
652,Afternoon,Low,5
653,Morning,High,15
654,Morning,Medium,10
655,Evening,High,30
656,Morning,Medium,10
657,Morning,Low,5
658,Morning,Low,5
659,Afternoon,Low,5
660,Evening,High,30
661,Afternoon,Low,5
662,Evening,Low,10
663,Evening,High,30
664,Afternoon,Low,5
665,Morning,High,15
666,Afternoon,Medium,10
667,Afternoon,Low,5
668,Morning,High,15
669,Morning,Low,5
670,Morning,Low,5
671,Morning,Low,5
672,Morning,Low,5
673,Afternoon,Low,5
674,Afternoon,Medium,10
675,Morning,High,15
676,Morning,Low,5
677,Morning,Low,5
678,Morning,Low,5
679,Afternoon,Medium,10
680,Afternoon,Low,5
681,Morning,Low,5
682,Afternoon,Medium,10
683,Afternoon,Low,5
684,Evening,High,30
685,Afternoon,Medium,10
686,Evening,Low,10
687,Evening,High,30
688,Evening,Medium,20
689,Afternoon,Medium,10
690,Afternoon,Low,5
691,Afternoon,Low,5
692,Afternoon,Low,5
693,Morning,High,15
694,Evening,High,30
695,Afternoon,Low,5
696,Evening,Low,10
697,Afternoon,Low,5
698,Afternoon,Low,5
699,Morning,Low,5
700,Morning,Low,5
701,Afternoon,Low,5
702,Morning,Low,5
703,Evening,Medium,20
704,Evening,High,30
705,Morning,Low,5
706,Morning,High,15
707,Afternoon,Medium,10
708,Morning,High,15
709,Afternoon,Low,5
710,Afternoon,Low,5
711,Afternoon,Low,5
712,Evening,Medium,20
713,Afternoon,Low,5
714,Evening,Medium,20
715,Evening,Medium,20
716,Afternoon,Low,5
717,Morning,Low,5
718,Morning,High,15
719,Afternoon,Medium,10
720,Evening,Medium,20
721,Afternoon,Low,5
722,Afternoon,Medium,10
723,Morning,Low,5
724,Afternoon,Medium,10
725,Evening,High,30
726,Evening,Low,10
727,Evening,Low,10
728,Afternoon,Low,5
729,Evening,High,30
730,Afternoon,Low,5
731,Morning,Low,5
732,Evening,Medium,20
733,Afternoon,Low,5
734,Morning,Low,5
735,Evening,High,30
736,Afternoon,Medium,10
737,Afternoon,Low,5
738,Afternoon,Low,5
739,Evening,Medium,20
740,Afternoon,Low,5
741,Evening,Medium,20
742,Afternoon,Medium,10
743,Afternoon,Low,5
744,Afternoon,Low,5
745,Evening,High,30
746,Afternoon,Low,5
747,Evening,Medium,20
748,Morning,Medium,10
749,Morning,Low,5
750,Morning,High,15
751,Morning,Low,5
752,Afternoon,Medium,10
753,Morning,Low,5
754,Afternoon,Low,5
755,Afternoon,Low,5
756,Afternoon,Low,5
757,Morning,Medium,10
758,Evening,Medium,20
759,Morning,Low,5
760,Morning,Low,5
761,Afternoon,Medium,10
762,Afternoon,Low,5
763,Evening,High,30
764,Morning,Medium,10
765,Morning,Low,5
766,Evening,High,30
767,Afternoon,Medium,10
768,Afternoon,Low,5
769,Evening,Medium,20
770,Evening,Medium,20
771,Afternoon,Medium,10
772,Afternoon,Medium,10
773,Afternoon,Low,5
774,Evening,High,30
775,Evening,High,30
776,Morning,Medium,10
777,Morning,High,15
778,Morning,High,15
779,Evening,High,30
780,Evening,Medium,20
781,Evening,High,30
782,Evening,Medium,20
783,Afternoon,Medium,10
784,Afternoon,Low,5
785,Morning,High,15
786,Afternoon,Low,5
787,Afternoon,Low,5
788,Evening,Low,10
789,Afternoon,Low,5
790,Afternoon,Low,5
791,Afternoon,Low,5
792,Evening,Low,10
793,Morning,Low,5
794,Morning,Low,5
795,Afternoon,Low,5
796,Evening,Low,10
797,Morning,High,15
798,Evening,High,30
799,Morning,Medium,10
800,Afternoon,Low,5
801,Afternoon,Medium,10
802,Afternoon,Medium,10
803,Afternoon,Low,5
804,Evening,Medium,20
805,Afternoon,Low,5
806,Evening,High,30
807,Evening,High,30
808,Morning,Low,5
809,Afternoon,Low,5
810,Afternoon,Low,5
811,Afternoon,Low,5
812,Morning,Low,5
813,Morning,Low,5
814,Evening,Medium,20
815,Afternoon,Low,5
816,Evening,High,30
817,Evening,Medium,20
818,Evening,High,30
819,Evening,High,30
820,Morning,High,15
821,Afternoon,Low,5
822,Afternoon,Low,5
823,Morning,Low,5
824,Afternoon,Medium,10
825,Evening,Low,10
826,Afternoon,Low,5
827,Morning,Medium,10
828,Evening,Medium,20
829,Evening,Medium,20
830,Afternoon,Low,5
831,Evening,Medium,20
832,Morning,Medium,10
833,Morning,Low,5
834,Evening,High,30
835,Afternoon,Low,5
836,Evening,High,30
837,Morning,Low,5
838,Afternoon,Low,5
839,Evening,Low,10
840,Morning,Low,5
841,Evening,Medium,20
842,Afternoon,Low,5
843,Evening,High,30
844,Afternoon,Low,5
845,Evening,Medium,20
846,Morning,Low,5
847,Afternoon,Low,5
848,Morning,Low,5
849,Morning,High,15
850,Afternoon,Medium,10
851,Morning,Low,5
852,Morning,Medium,10
853,Morning,Medium,10
854,Afternoon,Low,5
855,Afternoon,Low,5
856,Afternoon,Medium,10
857,Afternoon,Low,5
858,Afternoon,Low,5
859,Afternoon,Medium,10
860,Morning,Low,5
861,Evening,High,30
862,Morning,Low,5
863,Evening,Medium,20
864,Evening,Medium,20
865,Evening,Low,10
866,Evening,High,30
867,Afternoon,Medium,10
868,Afternoon,Low,5
869,Afternoon,Low,5
870,Afternoon,Low,5
871,Morning,Low,5
872,Afternoon,Medium,10
873,Morning,Medium,10
874,Evening,Medium,20
875,Afternoon,Low,5
876,Afternoon,Low,5
877,Evening,High,30
878,Afternoon,Low,5
879,Morning,Low,5
880,Morning,Medium,10
881,Afternoon,Medium,10
882,Morning,High,15
883,Morning,Low,5
884,Afternoon,Low,5
885,Evening,Low,10
886,Afternoon,Low,5
887,Morning,Low,5
888,Morning,Medium,10
889,Evening,Low,10
890,Morning,Low,5
891,Morning,Low,5
892,Afternoon,Low,5
893,Afternoon,Low,5
894,Morning,Medium,10
895,Afternoon,Low,5
896,Afternoon,Low,5
897,Evening,Medium,20
898,Evening,High,30
899,Afternoon,Medium,10
900,Morning,Medium,10
901,Afternoon,Low,5
902,Morning,Medium,10
903,Evening,Medium,20
904,Evening,High,30
905,Evening,High,30
906,Afternoon,Medium,10
907,Morning,Low,5
908,Afternoon,Low,5
909,Morning,Low,5
910,Afternoon,Low,5
911,Morning,Medium,10
912,Morning,Low,5
913,Afternoon,Low,5
914,Afternoon,Low,5
915,Evening,High,30
916,Evening,High,30
917,Morning,Medium,10
918,Morning,Low,5
919,Afternoon,Low,5
920,Afternoon,Low,5
921,Morning,High,15
922,Morning,High,15
923,Afternoon,Low,5
924,Morning,Medium,10
925,Afternoon,Low,5
926,Evening,Medium,20
927,Afternoon,Low,5
928,Evening,High,30
929,Morning,Medium,10
930,Afternoon,Medium,10
931,Morning,Low,5
932,Afternoon,Low,5
933,Afternoon,Medium,10
934,Afternoon,Low,5
935,Afternoon,Low,5
936,Morning,Low,5
937,Morning,Low,5
938,Afternoon,Low,5
939,Morning,High,15
940,Evening,Medium,20
941,Morning,Low,5
942,Afternoon,Medium,10
943,Evening,High,30
944,Evening,Medium,20
945,Afternoon,Low,5
946,Morning,High,15
947,Evening,Low,10
948,Afternoon,Low,5
949,Morning,Low,5
950,Afternoon,Low,5
951,Evening,Low,10
952,Morning,Low,5
953,Afternoon,Low,5
954,Morning,Low,5
955,Afternoon,Medium,10
956,Evening,Low,10
957,Evening,High,30
958,Afternoon,Low,5
959,Afternoon,Low,5
960,Evening,Low,10
961,Evening,Medium,20
962,Afternoon,Low,5
963,Morning,Low,5
964,Afternoon,Medium,10
965,Afternoon,Low,5
966,Evening,Low,10
967,Evening,Medium,20
968,Evening,High,30
969,Morning,High,15
970,Afternoon,Medium,10
971,Evening,High,30
972,Evening,High,30
973,Morning,Low,5
974,Afternoon,Low,5
975,Morning,High,15
976,Afternoon,Low,5
977,Afternoon,Medium,10
978,Afternoon,Medium,10
979,Afternoon,Low,5
980,Afternoon,Low,5
981,Afternoon,Low,5
982,Afternoon,Low,5
983,Morning,Low,5
984,Afternoon,Low,5
985,Evening,High,30
986,Evening,Medium,20
987,Afternoon,Low,5
988,Afternoon,Medium,10
989,Afternoon,Medium,10
990,Morning,Low,5
991,Afternoon,Low,5
992,Evening,High,30
993,Morning,Medium,10
994,Morning,High,15
995,Morning,High,15
996,Morning,Low,5
997,Evening,Medium,20
998,Morning,Medium,10
999,Afternoon,Medium,10
1000,Morning,High,15
1001,Afternoon,Low,5
1002,Afternoon,Low,5
1003,Afternoon,Low,5
1004,Evening,High,30
1005,Morning,Low,5
1006,Evening,High,30
1007,Evening,High,30
1008,Afternoon,Low,5
1009,Afternoon,Medium,10
1010,Morning,Low,5
1011,Morning,Low,5
1012,Morning,Medium,10
1013,Morning,Medium,10
1014,Evening,High,30
1015,Afternoon,Low,5
1016,Morning,Low,5
1017,Afternoon,Low,5
1018,Morning,Medium,10
1019,Afternoon,Low,5
1020,Afternoon,Low,5
1021,Afternoon,Low,5
1022,Evening,High,30
1023,Evening,Medium,20
1024,Evening,High,30
1025,Evening,Medium,20
1026,Afternoon,Low,5
1027,Afternoon,Medium,10
1028,Afternoon,Medium,10
1029,Evening,Medium,20
1030,Evening,High,30
1031,Morning,High,15
1032,Afternoon,Medium,10
1033,Morning,Medium,10
1034,Afternoon,Low,5
1035,Afternoon,Low,5
1036,Morning,High,15
1037,Morning,Low,5
1038,Evening,High,30
1039,Afternoon,Low,5
1040,Afternoon,Low,5
1041,Morning,High,15
1042,Afternoon,Low,5
1043,Evening,Medium,20
1044,Morning,High,15
1045,Evening,Medium,20
1046,Morning,Medium,10
1047,Evening,High,30
1048,Morning,High,15
1049,Morning,Medium,10
1050,Evening,Medium,20
1051,Morning,High,15
1052,Afternoon,Medium,10
1053,Afternoon,Low,5
1054,Evening,High,30
1055,Afternoon,Medium,10
1056,Evening,Low,10
1057,Afternoon,Low,5
1058,Afternoon,Medium,10
1059,Afternoon,Low,5
1060,Morning,Low,5
1061,Evening,High,30
1062,Afternoon,Low,5
1063,Evening,High,30
1064,Afternoon,Low,5
1065,Afternoon,Low,5
1066,Morning,Low,5
1067,Afternoon,Low,5
1068,Morning,Medium,10
1069,Afternoon,Low,5
1070,Evening,Medium,20
1071,Morning,Low,5
1072,Morning,Medium,10
1073,Evening,Medium,20
1074,Morning,Medium,10
1075,Afternoon,Medium,10
1076,Afternoon,Medium,10
1077,Afternoon,Low,5
1078,Afternoon,Medium,10
1079,Evening,Medium,20
1080,Afternoon,Low,5
1081,Morning,Medium,10
1082,Evening,High,30
1083,Morning,Low,5
1084,Afternoon,Low,5
1085,Morning,Medium,10
1086,Morning,Low,5
1087,Evening,High,30
1088,Morning,Low,5
1089,Morning,Medium,10
1090,Evening,High,30
1091,Evening,Low,10
1092,Morning,Low,5
1093,Afternoon,Medium,10
1094,Evening,Low,10
1095,Afternoon,Low,5
1096,Morning,Medium,10
1097,Afternoon,Low,5
1098,Morning,High,15
1099,Morning,Low,5
1100,Evening,High,30
1101,Afternoon,Medium,10
1102,Afternoon,Low,5
1103,Morning,Low,5
1104,Morning,Medium,10
1105,Afternoon,Low,5
1106,Morning,Medium,10
1107,Afternoon,Low,5
1108,Afternoon,Low,5
1109,Afternoon,Medium,10
1110,Evening,Medium,20
1111,Morning,Medium,10
1112,Afternoon,Low,5
1113,Afternoon,Low,5
1114,Afternoon,Medium,10
1115,Afternoon,Low,5
1116,Morning,Medium,10
1117,Evening,High,30
1118,Morning,Medium,10
1119,Afternoon,Low,5
1120,Evening,High,30
1121,Evening,Medium,20
1122,Afternoon,Low,5
1123,Morning,Medium,10
1124,Afternoon,Low,5
1125,Evening,Medium,20
1126,Afternoon,Low,5
1127,Afternoon,Low,5
1128,Morning,Low,5
1129,Afternoon,Low,5
1130,Evening,Medium,20
1131,Afternoon,Low,5
1132,Morning,High,15
1133,Afternoon,Medium,10
1134,Evening,High,30
1135,Afternoon,Low,5
1136,Afternoon,Low,5
1137,Morning,Low,5
1138,Afternoon,Low,5
1139,Evening,Medium,20
1140,Afternoon,Low,5
1141,Afternoon,Medium,10
1142,Evening,High,30
1143,Morning,Medium,10
1144,Evening,Medium,20
1145,Afternoon,Medium,10
1146,Morning,Medium,10
1147,Afternoon,Low,5
1148,Evening,Medium,20
1149,Afternoon,Low,5
1150,Afternoon,Low,5
1151,Morning,Low,5
1152,Morning,Low,5
1153,Morning,Low,5
1154,Evening,Medium,20
1155,Morning,Low,5
