order_id,customer_lat,customer_lon,distance,order_weight,traffic_delay,temperature,weather_impact,time_of_day_Afternoon,time_of_day_Evening,time_of_day_Morning,traffic_condition_High,traffic_condition_Low,traffic_condition_Medium,weather_condition_Clear,weather_condition_Foggy,weather_condition_Hazy,weather_condition_Rainy
100,28.533085,77.242209,5.3,1.86,5,22,0,False,False,True,False,True,False,True,False,False,False
101,28.661616,77.059141,1.69,8.67,10,24,5,False,False,True,False,False,True,False,False,True,False
102,28.63314,77.14948,8.44,8.05,10,33,0,True,False,False,False,False,True,True,False,False,False
103,28.614887,77.116895,5.34,9.49,30,31,0,False,True,False,True,False,False,True,False,False,False
104,28.518642,77.148399,5.12,6.28,10,8,0,False,True,False,False,True,False,True,False,False,False
105,28.515647,77.260318,3.47,3.0,5,41,0,True,False,False,False,True,False,True,False,False,False
106,28.67067,77.248816,3.89,2.52,10,43,0,False,True,False,False,True,False,True,False,False,False
107,28.519038,77.101553,2.9,5.23,10,41,20,True,False,False,False,False,True,False,True,False,False
108,28.656196,77.03113,5.02,1.74,5,13,0,True,False,False,False,True,False,True,False,False,False
109,28.597185,77.128284,8.27,3.65,10,12,0,True,False,False,False,False,True,True,False,False,False
110,28.527095,77.142546,4.28,5.16,10,31,20,False,True,False,False,True,False,False,True,False,False
111,28.622374,77.120752,5.69,6.44,10,36,0,False,True,False,False,True,False,True,False,False,False
112,28.656164,77.22819,6.05,3.45,10,32,5,False,True,False,False,True,False,False,False,True,False
113,28.635598,77.125669,4.88,1.8,10,37,5,False,False,True,False,False,True,False,False,True,False
114,28.539195,77.110363,3.69,6.81,10,35,0,False,False,True,False,False,True,True,False,False,False
115,28.559187,77.032794,3.9,4.53,10,43,0,True,False,False,False,False,True,True,False,False,False
116,28.600296,77.273476,6.02,5.37,5,43,0,False,False,True,False,True,False,True,False,False,False
117,28.695074,77.050038,4.41,7.66,5,41,0,False,False,True,False,True,False,True,False,False,False
118,28.529508,77.236452,6.28,7.73,30,6,0,False,True,False,True,False,False,True,False,False,False
119,28.608794,77.27473,2.65,6.7,10,40,5,False,True,False,False,True,False,False,False,True,False
120,28.590254,77.11222,3.73,5.27,15,35,20,False,False,True,True,False,False,False,True,False,False
121,28.628286,77.276427,4.54,9.89,5,33,15,True,False,False,False,True,False,False,False,False,True
122,28.536393,77.10584,4.67,9.36,5,9,0,True,False,False,False,True,False,True,False,False,False
123,28.529428,77.209397,6.68,6.29,10,22,0,False,False,True,False,False,True,True,False,False,False
124,28.549751,77.031063,2.44,6.64,20,22,20,False,True,False,False,False,True,False,True,False,False
125,28.584418,77.166106,4.94,1.27,5,39,15,True,False,False,False,True,False,False,False,False,True
126,28.658138,77.033631,4.78,8.7,10,15,20,False,True,False,False,True,False,False,True,False,False
127,28.688577,77.288732,5.35,1.78,15,11,0,False,False,True,True,False,False,True,False,False,False
128,28.684035,77.148566,5.36,0.97,30,28,15,False,True,False,True,False,False,False,False,False,True
129,28.61048,77.157477,7.1,2.57,30,13,0,False,True,False,True,False,False,True,False,False,False
130,28.641182,77.083264,4.6,8.38,5,19,15,True,False,False,False,True,False,False,False,False,True
131,28.682184,77.10207,4.85,3.22,10,13,0,False,False,True,False,False,True,True,False,False,False
132,28.649327,77.042799,7.39,5.18,30,35,5,False,True,False,True,False,False,False,False,True,False
133,28.523119,77.067727,6.48,3.6,10,33,0,False,False,True,False,False,True,True,False,False,False
134,28.571701,77.205166,1.15,9.31,5,27,0,True,False,False,False,True,False,True,False,False,False
135,28.578485,77.17642,3.56,9.66,10,38,0,True,False,False,False,False,True,True,False,False,False
136,28.70395,77.102895,2.93,6.23,5,24,0,True,False,False,False,True,False,True,False,False,False
137,28.684449,77.246166,5.4,8.4,30,8,0,False,True,False,True,False,False,True,False,False,False
138,28.647752,77.206238,4.88,5.77,10,9,0,False,True,False,False,True,False,True,False,False,False
139,28.672426,77.075533,6.58,5.31,30,7,5,False,True,False,True,False,False,False,False,True,False
140,28.528253,77.148298,6.14,7.67,30,34,0,False,True,False,True,False,False,True,False,False,False
141,28.568948,77.160388,6.13,5.88,5,10,0,True,False,False,False,True,False,True,False,False,False
142,28.553747,77.054898,4.74,3.97,20,18,15,False,True,False,False,False,True,False,False,False,True
143,28.675234,77.297557,6.39,8.4,30,15,0,False,True,False,True,False,False,True,False,False,False
144,28.521392,77.070161,5.77,7.6,15,27,20,False,False,True,True,False,False,False,True,False,False
145,28.630948,77.141855,4.06,3.74,10,25,15,False,True,False,False,True,False,False,False,False,True
146,28.635054,77.077953,4.06,1.69,10,7,15,True,False,False,False,False,True,False,False,False,True
147,28.660414,77.103422,4.18,6.82,5,6,20,True,False,False,False,True,False,False,True,False,False
148,28.597948,77.053073,7.51,9.46,5,16,15,True,False,False,False,True,False,False,False,False,True
149,28.615533,77.1324,5.12,5.97,20,44,0,False,True,False,False,False,True,True,False,False,False
150,28.582691,77.29054,4.83,6.28,5,18,20,False,False,True,False,True,False,False,True,False,False
151,28.539957,77.274299,7.76,4.28,20,14,20,False,True,False,False,False,True,False,True,False,False
152,28.546209,77.217095,4.8,7.95,30,17,0,False,True,False,True,False,False,True,False,False,False
153,28.678436,77.200962,1.67,1.05,30,32,20,False,True,False,True,False,False,False,True,False,False
154,28.595874,77.157674,3.37,4.08,5,37,5,False,False,True,False,True,False,False,False,True,False
155,28.533416,77.289775,3.11,4.93,5,22,5,False,False,True,False,True,False,False,False,True,False
156,28.65373,77.296089,9.06,3.62,5,7,20,True,False,False,False,True,False,False,True,False,False
157,28.703696,77.271516,8.94,6.41,20,37,0,False,True,False,False,False,True,True,False,False,False
158,28.680119,77.055372,6.41,9.35,10,11,20,True,False,False,False,False,True,False,True,False,False
159,28.643612,77.179054,7.06,2.99,30,6,0,False,True,False,True,False,False,True,False,False,False
160,28.670655,77.287101,3.71,5.35,10,33,20,False,True,False,False,True,False,False,True,False,False
161,28.539059,77.114096,2.13,8.59,10,28,0,False,False,True,False,False,True,True,False,False,False
162,28.70302,77.06301,8.25,5.95,30,31,0,False,True,False,True,False,False,True,False,False,False
163,28.528227,77.262427,4.87,1.02,30,8,15,False,True,False,True,False,False,False,False,False,True
164,28.591035,77.12559,3.89,2.4,10,9,20,False,False,True,False,False,True,False,True,False,False
165,28.625994,77.150419,6.14,6.29,20,22,0,False,True,False,False,False,True,True,False,False,False
166,28.685107,77.289247,4.34,8.35,15,9,0,False,False,True,True,False,False,True,False,False,False
167,28.575413,77.03843,2.19,1.44,10,9,0,True,False,False,False,False,True,True,False,False,False
168,28.65054,77.154186,1.92,5.06,10,19,15,False,False,True,False,False,True,False,False,False,True
169,28.69817,77.23925,4.64,7.29,10,22,15,True,False,False,False,False,True,False,False,False,True
170,28.586737,77.149294,3.44,9.12,5,21,0,False,False,True,False,True,False,True,False,False,False
171,28.56994,77.036073,2.29,5.98,5,10,5,True,False,False,False,True,False,False,False,True,False
172,28.577798,77.15308,5.63,7.84,5,32,0,True,False,False,False,True,False,True,False,False,False
173,28.557714,77.160668,5.63,3.16,5,21,15,True,False,False,False,True,False,False,False,False,True
174,28.683581,77.277682,5.92,9.82,10,27,0,False,False,True,False,False,True,True,False,False,False
175,28.626702,77.240213,4.11,0.9,5,7,0,True,False,False,False,True,False,True,False,False,False
176,28.596941,77.046764,6.09,6.32,10,12,15,True,False,False,False,False,True,False,False,False,True
177,28.604665,77.287011,7.11,1.68,5,16,0,True,False,False,False,True,False,True,False,False,False
178,28.543561,77.218726,5.39,6.91,5,21,20,True,False,False,False,True,False,False,True,False,False
179,28.56916,77.057866,4.6,1.82,30,20,0,False,True,False,True,False,False,True,False,False,False
180,28.619951,77.262159,7.48,5.5,15,25,0,False,False,True,True,False,False,True,False,False,False
181,28.688822,77.19025,1.0,6.54,5,16,20,False,False,True,False,True,False,False,True,False,False
182,28.560717,77.119486,8.05,9.95,10,28,20,True,False,False,False,False,True,False,True,False,False
183,28.567231,77.207502,1.75,1.75,10,10,15,True,False,False,False,False,True,False,False,False,True
184,28.625458,77.132765,7.31,8.03,10,8,20,False,True,False,False,True,False,False,True,False,False
185,28.535007,77.267744,7.05,5.94,15,32,0,False,False,True,True,False,False,True,False,False,False
186,28.597872,77.090989,8.54,5.96,15,10,0,False,False,True,True,False,False,True,False,False,False
187,28.628927,77.086015,5.67,6.9,20,36,0,False,True,False,False,False,True,True,False,False,False
188,28.681859,77.090507,6.26,8.49,5,35,20,False,False,True,False,True,False,False,True,False,False
189,28.647012,77.201801,1.0,1.44,5,12,5,True,False,False,False,True,False,False,False,True,False
190,28.551924,77.10787,6.72,5.66,10,32,0,False,False,True,False,False,True,True,False,False,False
191,28.632706,77.184239,7.69,9.71,30,5,0,False,True,False,True,False,False,True,False,False,False
192,28.571172,77.085601,5.16,8.95,10,10,20,True,False,False,False,False,True,False,True,False,False
193,28.603828,77.126981,4.26,5.95,30,11,0,False,True,False,True,False,False,True,False,False,False
194,28.680101,77.236398,8.28,5.13,5,43,5,True,False,False,False,True,False,False,False,True,False
195,28.595389,77.278654,5.31,2.65,5,8,5,False,False,True,False,True,False,False,False,True,False
196,28.631286,77.200133,2.71,1.83,20,19,15,False,True,False,False,False,True,False,False,False,True
197,28.516443,77.296921,3.78,6.08,20,23,0,False,True,False,False,False,True,True,False,False,False
198,28.657063,77.207601,6.99,2.23,10,21,0,True,False,False,False,False,True,True,False,False,False
199,28.699322,77.230576,3.42,8.45,10,37,0,False,False,True,False,False,True,True,False,False,False
200,28.67764,77.031695,4.66,9.5,5,7,0,True,False,False,False,True,False,True,False,False,False
201,28.554819,77.176591,5.72,7.42,30,13,0,False,True,False,True,False,False,True,False,False,False
202,28.602153,77.278319,7.88,4.58,10,14,20,True,False,False,False,False,True,False,True,False,False
203,28.596041,77.194822,5.1,9.42,10,25,0,True,False,False,False,False,True,True,False,False,False
204,28.691323,77.069696,5.22,8.86,10,16,20,False,False,True,False,False,True,False,True,False,False
205,28.578809,77.134758,8.17,2.49,5,31,15,True,False,False,False,True,False,False,False,False,True
206,28.579312,77.180369,10.85,3.84,5,13,15,False,False,True,False,True,False,False,False,False,True
207,28.696566,77.276194,1.0,5.1,10,28,20,True,False,False,False,False,True,False,True,False,False
208,28.548171,77.248082,4.8,8.44,5,5,15,True,False,False,False,True,False,False,False,False,True
209,28.601353,77.157863,3.54,4.74,30,14,15,False,True,False,True,False,False,False,False,False,True
210,28.633174,77.121099,2.04,4.51,10,31,0,True,False,False,False,False,True,True,False,False,False
211,28.643621,77.123951,8.75,2.71,20,9,0,False,True,False,False,False,True,True,False,False,False
212,28.613047,77.142109,4.64,4.17,5,17,0,False,False,True,False,True,False,True,False,False,False
213,28.598292,77.18982,2.89,3.99,20,12,0,False,True,False,False,False,True,True,False,False,False
214,28.54449,77.181478,6.32,6.71,5,25,5,False,False,True,False,True,False,False,False,True,False
215,28.664632,77.284575,3.36,0.92,10,24,15,False,False,True,False,False,True,False,False,False,True
216,28.518688,77.091481,5.37,8.04,5,11,20,False,False,True,False,True,False,False,True,False,False
217,28.62381,77.059695,3.3,5.29,10,43,5,False,True,False,False,True,False,False,False,True,False
218,28.569435,77.107493,6.76,1.6,20,35,0,False,True,False,False,False,True,True,False,False,False
219,28.697244,77.1842,1.74,7.78,10,16,0,False,True,False,False,True,False,True,False,False,False
220,28.668042,77.209299,7.08,3.95,15,27,15,False,False,True,True,False,False,False,False,False,True
221,28.671312,77.301352,4.1,1.28,20,17,0,False,True,False,False,False,True,True,False,False,False
222,28.547616,77.095657,1.0,1.35,10,11,0,False,False,True,False,False,True,True,False,False,False
223,28.610655,77.163765,3.65,3.41,5,18,0,False,False,True,False,True,False,True,False,False,False
224,28.619229,77.211051,1.06,6.6,30,36,0,False,True,False,True,False,False,True,False,False,False
225,28.612895,77.288176,3.81,3.44,15,43,0,False,False,True,True,False,False,True,False,False,False
226,28.638089,77.07059,5.91,1.61,5,36,0,False,False,True,False,True,False,True,False,False,False
227,28.573038,77.113904,6.65,6.69,5,40,0,True,False,False,False,True,False,True,False,False,False
228,28.623924,77.269395,3.52,1.22,5,31,0,False,False,True,False,True,False,True,False,False,False
229,28.678038,77.185455,6.57,9.07,5,16,20,True,False,False,False,True,False,False,True,False,False
230,28.63027,77.099092,1.86,9.31,15,35,0,False,False,True,True,False,False,True,False,False,False
231,28.68561,77.107553,3.81,7.48,15,17,5,False,False,True,True,False,False,False,False,True,False
232,28.616129,77.212598,4.47,8.23,10,24,0,True,False,False,False,False,True,True,False,False,False
233,28.59231,77.137522,3.4,6.76,5,10,0,False,False,True,False,True,False,True,False,False,False
234,28.694644,77.113424,5.47,8.8,5,33,5,True,False,False,False,True,False,False,False,True,False
235,28.542814,77.303212,8.24,0.81,5,13,0,False,False,True,False,True,False,True,False,False,False
236,28.572288,77.214106,9.8,3.07,10,33,15,True,False,False,False,False,True,False,False,False,True
237,28.516997,77.080108,5.34,9.88,5,32,0,False,False,True,False,True,False,True,False,False,False
238,28.582502,77.052314,3.69,1.58,5,9,0,False,False,True,False,True,False,True,False,False,False
239,28.626622,77.304936,4.64,1.94,20,7,20,False,True,False,False,False,True,False,True,False,False
240,28.596812,77.173483,7.19,3.59,10,41,15,True,False,False,False,False,True,False,False,False,True
241,28.628751,77.184588,6.86,4.65,5,41,15,False,False,True,False,True,False,False,False,False,True
242,28.700237,77.270531,2.44,9.22,20,43,20,False,True,False,False,False,True,False,True,False,False
243,28.678452,77.27398,4.38,1.54,10,34,0,False,True,False,False,True,False,True,False,False,False
244,28.635431,77.10362,3.06,7.75,20,13,15,False,True,False,False,False,True,False,False,False,True
245,28.623928,77.215316,2.11,7.86,5,6,0,False,False,True,False,True,False,True,False,False,False
246,28.613102,77.122888,3.39,2.53,10,11,5,False,True,False,False,True,False,False,False,True,False
247,28.658582,77.171896,3.06,4.2,5,18,15,True,False,False,False,True,False,False,False,False,True
248,28.659305,77.134242,1.17,6.04,10,14,15,False,False,True,False,False,True,False,False,False,True
249,28.593536,77.10616,10.93,2.11,20,16,15,False,True,False,False,False,True,False,False,False,True
250,28.702668,77.036824,2.76,3.61,10,14,0,True,False,False,False,False,True,True,False,False,False
251,28.651021,77.146621,7.44,5.53,10,33,0,False,False,True,False,False,True,True,False,False,False
252,28.689282,77.102423,3.5,4.51,30,7,0,False,True,False,True,False,False,True,False,False,False
253,28.648791,77.229109,2.94,3.85,20,11,0,False,True,False,False,False,True,True,False,False,False
254,28.614747,77.238245,2.39,4.16,5,14,0,False,False,True,False,True,False,True,False,False,False
255,28.545381,77.125448,5.46,9.78,30,25,15,False,True,False,True,False,False,False,False,False,True
256,28.683411,77.142744,4.12,0.91,5,30,0,True,False,False,False,True,False,True,False,False,False
257,28.617106,77.248613,3.74,9.48,5,24,0,True,False,False,False,True,False,True,False,False,False
258,28.656242,77.188196,4.38,2.77,10,7,0,True,False,False,False,False,True,True,False,False,False
259,28.618779,77.065676,4.51,3.3,5,18,0,True,False,False,False,True,False,True,False,False,False
260,28.516138,77.118147,1.0,9.65,5,32,0,True,False,False,False,True,False,True,False,False,False
261,28.52016,77.083243,4.69,9.98,15,18,0,False,False,True,True,False,False,True,False,False,False
262,28.688444,77.097576,6.84,4.2,10,16,15,True,False,False,False,False,True,False,False,False,True
263,28.595315,77.083289,7.2,6.57,5,41,0,True,False,False,False,True,False,True,False,False,False
264,28.616927,77.088187,4.26,6.16,20,15,0,False,True,False,False,False,True,True,False,False,False
265,28.667472,77.084459,1.14,4.75,20,25,20,False,True,False,False,False,True,False,True,False,False
266,28.552597,77.24199,4.31,2.36,5,27,0,True,False,False,False,True,False,True,False,False,False
267,28.649121,77.154429,8.03,5.14,5,35,0,True,False,False,False,True,False,True,False,False,False
268,28.539691,77.193841,8.56,8.31,20,27,0,False,True,False,False,False,True,True,False,False,False
269,28.620919,77.03878,5.63,7.59,5,35,0,True,False,False,False,True,False,True,False,False,False
270,28.692815,77.180047,5.56,7.05,5,44,0,True,False,False,False,True,False,True,False,False,False
271,28.566842,77.300538,7.15,0.89,5,29,0,False,False,True,False,True,False,True,False,False,False
272,28.563357,77.195843,6.0,6.49,5,23,0,False,False,True,False,True,False,True,False,False,False
273,28.51489,77.21911,6.69,9.96,5,28,0,False,False,True,False,True,False,True,False,False,False
274,28.5271,77.171548,9.23,6.98,5,39,5,True,False,False,False,True,False,False,False,True,False
275,28.517775,77.06476,2.47,8.62,20,21,20,False,True,False,False,False,True,False,True,False,False
276,28.607407,77.159798,1.72,5.5,5,28,15,True,False,False,False,True,False,False,False,False,True
277,28.531387,77.167706,8.6,7.04,5,34,20,True,False,False,False,True,False,False,True,False,False
278,28.578054,77.108679,6.44,7.17,10,43,0,False,False,True,False,False,True,True,False,False,False
279,28.586186,77.19562,5.32,4.36,20,26,5,False,True,False,False,False,True,False,False,True,False
280,28.54811,77.240259,7.14,1.59,30,23,15,False,True,False,True,False,False,False,False,False,True
281,28.516788,77.194958,2.87,3.16,5,25,0,False,False,True,False,True,False,True,False,False,False
282,28.543268,77.231472,6.84,9.11,5,19,0,True,False,False,False,True,False,True,False,False,False
283,28.621271,77.2916,6.36,4.34,15,7,20,False,False,True,True,False,False,False,True,False,False
284,28.635462,77.136895,7.14,2.81,15,25,15,False,False,True,True,False,False,False,False,False,True
285,28.617737,77.288271,3.8,8.39,10,40,5,False,False,True,False,False,True,False,False,True,False
286,28.617771,77.112921,7.89,3.88,5,20,0,False,False,True,False,True,False,True,False,False,False
287,28.598249,77.26134,3.41,7.93,20,41,5,False,True,False,False,False,True,False,False,True,False
288,28.697139,77.039873,4.65,7.48,5,22,15,True,False,False,False,True,False,False,False,False,True
289,28.554255,77.060888,4.15,5.53,5,11,0,True,False,False,False,True,False,True,False,False,False
290,28.520487,77.298647,4.89,9.86,15,35,20,False,False,True,True,False,False,False,True,False,False
291,28.591535,77.194134,5.48,5.81,10,5,15,True,False,False,False,False,True,False,False,False,True
292,28.618312,77.133704,3.16,6.63,30,16,15,False,True,False,True,False,False,False,False,False,True
293,28.640276,77.168121,7.76,7.97,5,7,0,False,False,True,False,True,False,True,False,False,False
294,28.631472,77.299784,7.3,9.59,10,19,20,False,False,True,False,False,True,False,True,False,False
295,28.515334,77.086214,3.56,9.91,10,34,0,False,True,False,False,True,False,True,False,False,False
296,28.625394,77.184819,8.25,9.17,5,38,0,False,False,True,False,True,False,True,False,False,False
297,28.547221,77.155695,3.62,1.77,5,24,20,True,False,False,False,True,False,False,True,False,False
298,28.539527,77.299042,3.42,1.05,5,18,20,True,False,False,False,True,False,False,True,False,False
